loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,fico_range_low,inq_last_6mths,open_acc,pub_rec,revol_util,initial_list_status,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,acc_open_past_24mths,bc_open_to_buy,bc_util,chargeoff_within_12_mths,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,total_bc_limit,hardship_flag,disbursement_method
20000.0, 36 months,13.99,C,C3,10+ years,MORTGAGE,65000.0,Not Verified,Fully Paid,debt_consolidation,13.68,705.0,2.0,11.0,0.0,64.9,w,744.0,740.0,0.0,Joint App,0.0,735334.0,9.0,6146.0,64.9,0.0,183.0,37.0,14.0,2.0,3.0,0.0,3.0,5.0,3.0,7.0,9.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,17500.0,N,Cash
7000.0, 36 months,9.16,B,B2,10+ years,OWN,35000.0,Verified,Fully Paid,debt_consolidation,22.39,710.0,0.0,10.0,0.0,27.3,f,664.0,660.0,0.0,Individual,0.0,28344.0,6.0,10852.0,43.5,0.0,86.0,152.0,4.0,4.0,1.0,0.0,4.0,4.0,4.0,12.0,9.0,0.0,0.0,4.0,96.6,25.0,0.0,0.0,19200.0,N,Cash
20000.0, 36 months,8.67,B,B1,10+ years,MORTGAGE,90000.0,Source Verified,Fully Paid,debt_consolidation,29.14,665.0,0.0,22.0,0.0,69.7,f,524.0,520.0,0.0,Individual,323.0,396335.0,5.0,5132.0,81.9,0.0,151.0,204.0,12.0,12.0,4.0,0.0,14.0,18.0,14.0,19.0,10.0,0.0,0.0,1.0,89.7,57.1,0.0,0.0,28300.0,N,Cash
16000.0, 36 months,14.46,C,C4,5 years,OWN,50000.0,Source Verified,Fully Paid,debt_consolidation,34.64,660.0,0.0,9.0,0.0,40.5,w,744.0,740.0,1.0,Individual,60.0,81483.0,2.0,43792.0,43.1,0.0,148.0,223.0,15.0,15.0,0.0,0.0,5.0,5.0,6.0,14.0,7.0,0.0,0.0,0.0,84.0,33.3,0.0,0.0,77000.0,N,Cash
4000.0, 36 months,11.53,B,B5,2 years,MORTGAGE,85000.0,Verified,Fully Paid,home_improvement,24.27,700.0,0.0,7.0,0.0,85.2,w,694.0,690.0,0.0,Individual,0.0,316030.0,3.0,4006.0,64.95,0.0,154.0,282.0,7.0,7.0,2.0,3.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,2.0,73.7,50.0,0.0,0.0,0.0,N,Cash
10950.0, 36 months,15.59,D,D1,10+ years,MORTGAGE,38000.0,Not Verified,Fully Paid,medical,19.68,690.0,0.0,11.0,0.0,54.5,w,709.0,705.0,0.0,Individual,0.0,116140.0,1.0,6783.0,57.6,0.0,171.0,260.0,97.0,9.0,2.0,1.0,5.0,8.0,5.0,10.0,2.0,0.0,0.0,1.0,60.0,40.0,0.0,0.0,16000.0,N,Cash
10000.0, 36 months,6.89,A,A3,10+ years,MORTGAGE,43000.0,Verified,Fully Paid,debt_consolidation,15.02,745.0,0.0,8.0,0.0,49.7,w,759.0,755.0,0.0,Individual,58.0,98169.0,0.0,5034.0,49.7,0.0,159.0,124.0,45.0,29.0,2.0,0.0,2.0,2.0,2.0,7.0,12.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10000.0,N,Cash
6500.0, 36 months,9.99,B,B3,3 years,OWN,36000.0,Source Verified,Fully Paid,debt_consolidation,6.8,680.0,0.0,6.0,1.0,70.8,f,724.0,720.0,0.0,Individual,0.0,38336.0,2.0,617.0,92.2,0.0,218.0,217.0,3.0,3.0,0.0,1.0,2.0,4.0,2.0,3.0,19.0,0.0,0.0,1.0,96.2,100.0,0.0,1.0,7900.0,N,Cash
7500.0, 36 months,19.52,D,D4,10+ years,RENT,75000.0,Not Verified,Fully Paid,debt_consolidation,22.53,665.0,2.0,12.0,0.0,41.7,f,729.0,725.0,0.0,Individual,385.0,52155.0,7.0,2190.0,64.7,0.0,163.0,145.0,3.0,3.0,0.0,1.0,4.0,7.0,5.0,6.0,15.0,0.0,0.0,4.0,83.0,20.0,0.0,0.0,6200.0,N,Cash
4600.0, 36 months,24.99,F,F4,3 years,RENT,38000.0,Not Verified,Fully Paid,debt_consolidation,36.39,670.0,3.0,6.0,0.0,44.2,w,674.0,670.0,0.0,Individual,0.0,18365.0,5.0,861.0,56.9,0.0,108.0,150.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,5.0,11.0,0.0,0.0,3.0,78.6,0.0,0.0,0.0,2000.0,N,Cash
