last_fico_range_high,last_fico_range_low,bc_util,revol_util,loan_amnt,int_rate,bc_open_to_buy,mo_sin_old_il_acct,dti,mo_sin_old_rev_tl_op,annual_inc,mo_sin_rcnt_rev_tl_op,sub_grade,fico_range_low,total_bc_limit,tot_cur_bal,num_il_tl,pct_tl_nvr_dlq,mo_sin_rcnt_tl,num_bc_tl,open_acc,acc_open_past_24mths,num_actv_rev_tl,grade,emp_length,percent_bc_gt_75,num_bc_sats,num_actv_bc_tl,num_tl_op_past_12m,inq_last_6mths,purpose,mort_acc,term,initial_list_status,verification_status,home_ownership,tot_coll_amt,num_accts_ever_120_pd,loan_status
744.0,740.0,64.9,64.9,20000.0,13.99,6146.0,183.0,13.68,37.0,65000.0,14.0,C3,705.0,17500.0,735334.0,9.0,100.0,2.0,7.0,11.0,9.0,5.0,C,10+ years,66.7,3.0,3.0,2.0,2.0,debt_consolidation,3.0, 36 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
664.0,660.0,43.5,27.3,7000.0,9.16,10852.0,86.0,22.39,152.0,35000.0,4.0,B2,710.0,19200.0,28344.0,9.0,96.6,4.0,12.0,10.0,6.0,4.0,B,10+ years,25.0,4.0,4.0,4.0,0.0,debt_consolidation,1.0, 36 months,f,Verified,OWN,0.0,0.0,Fully Paid
524.0,520.0,81.9,69.7,20000.0,8.67,5132.0,151.0,29.14,204.0,90000.0,12.0,B1,665.0,28300.0,396335.0,10.0,89.7,12.0,19.0,22.0,5.0,18.0,B,10+ years,57.1,14.0,14.0,1.0,0.0,debt_consolidation,4.0, 36 months,f,Source Verified,MORTGAGE,323.0,0.0,Fully Paid
744.0,740.0,43.1,40.5,16000.0,14.46,43792.0,148.0,34.64,223.0,50000.0,15.0,C4,660.0,77000.0,81483.0,7.0,84.0,15.0,14.0,9.0,2.0,5.0,C,5 years,33.3,6.0,5.0,0.0,0.0,debt_consolidation,0.0, 36 months,w,Source Verified,OWN,60.0,0.0,Fully Paid
694.0,690.0,64.95,85.2,4000.0,11.53,4006.0,154.0,24.27,282.0,85000.0,7.0,B5,700.0,0.0,316030.0,4.0,73.7,7.0,4.0,7.0,3.0,3.0,B,2 years,50.0,0.0,0.0,2.0,0.0,home_improvement,2.0, 36 months,w,Verified,MORTGAGE,0.0,3.0,Fully Paid
709.0,705.0,57.6,54.5,10950.0,15.59,6783.0,171.0,19.68,260.0,38000.0,97.0,D1,690.0,16000.0,116140.0,2.0,60.0,9.0,10.0,11.0,1.0,8.0,D,10+ years,40.0,5.0,5.0,1.0,0.0,medical,2.0, 36 months,w,Not Verified,MORTGAGE,0.0,1.0,Fully Paid
759.0,755.0,49.7,49.7,10000.0,6.89,5034.0,159.0,15.02,124.0,43000.0,45.0,A3,745.0,10000.0,98169.0,12.0,100.0,29.0,7.0,8.0,0.0,2.0,A,10+ years,0.0,2.0,2.0,0.0,0.0,debt_consolidation,2.0, 36 months,w,Verified,MORTGAGE,58.0,0.0,Fully Paid
724.0,720.0,92.2,70.8,6500.0,9.99,617.0,218.0,6.8,217.0,36000.0,3.0,B3,680.0,7900.0,38336.0,19.0,96.2,3.0,3.0,6.0,2.0,4.0,B,3 years,100.0,2.0,2.0,1.0,0.0,debt_consolidation,0.0, 36 months,f,Source Verified,OWN,0.0,1.0,Fully Paid
729.0,725.0,64.7,41.7,7500.0,19.52,2190.0,163.0,22.53,145.0,75000.0,3.0,D4,665.0,6200.0,52155.0,15.0,83.0,3.0,6.0,12.0,7.0,7.0,D,10+ years,20.0,5.0,4.0,4.0,2.0,debt_consolidation,0.0, 36 months,f,Not Verified,RENT,385.0,1.0,Fully Paid
674.0,670.0,56.9,44.2,4600.0,24.99,861.0,108.0,36.39,150.0,38000.0,3.0,F4,670.0,2000.0,18365.0,11.0,78.6,3.0,5.0,6.0,5.0,2.0,F,3 years,0.0,1.0,1.0,3.0,3.0,debt_consolidation,0.0, 36 months,w,Not Verified,RENT,0.0,1.0,Fully Paid
699.0,695.0,100.8,90.5,20050.0,16.2,0.0,138.0,19.39,276.0,100000.0,87.0,C4,660.0,15700.0,430175.0,9.0,91.0,12.0,8.0,11.0,2.0,6.0,C,10+ years,100.0,4.0,4.0,1.0,0.0,debt_consolidation,1.0, 36 months,f,Verified,MORTGAGE,0.0,0.0,Fully Paid
754.0,750.0,19.8,15.5,30000.0,16.99,10753.0,130.0,11.19,152.0,112000.0,7.0,D3,675.0,13400.0,156326.0,10.0,89.7,7.0,9.0,11.0,6.0,6.0,D,1 year,0.0,5.0,4.0,4.0,2.0,other,2.0, 36 months,f,Source Verified,RENT,0.0,2.0,Fully Paid
524.0,520.0,68.0,71.0,2000.0,28.69,1750.0,228.0,8.72,401.0,30000.0,1.0,F1,665.0,3500.0,182157.0,2.0,81.0,1.0,5.0,7.0,7.0,3.0,F,10+ years,50.0,3.0,2.0,6.0,4.0,other,4.0, 36 months,w,Verified,MORTGAGE,0.0,0.0,Charged Off
549.0,545.0,67.6,60.2,16000.0,10.99,7157.0,137.0,17.19,121.0,125000.0,4.0,B4,660.0,22100.0,124936.0,17.0,90.0,4.0,13.0,19.0,7.0,11.0,B,1 year,50.0,8.0,7.0,4.0,1.0,debt_consolidation,0.0, 36 months,f,Source Verified,RENT,0.0,0.0,Charged Off
759.0,755.0,85.5,78.5,10000.0,15.1,710.0,57.0,14.48,63.0,80000.0,5.0,C2,680.0,4900.0,38897.0,4.0,100.0,5.0,4.0,8.0,3.0,4.0,C,5 years,100.0,3.0,2.0,2.0,1.0,debt_consolidation,0.0, 36 months,f,Source Verified,RENT,0.0,0.0,Fully Paid
669.0,665.0,30.7,40.8,13000.0,10.75,12062.0,111.0,15.97,170.0,170000.0,5.0,B4,670.0,17400.0,95131.0,7.0,100.0,5.0,6.0,10.0,7.0,5.0,B,4 years,33.3,3.0,3.0,5.0,1.0,credit_card,1.0, 36 months,w,Source Verified,RENT,0.0,0.0,Fully Paid
584.0,580.0,42.4,42.3,13625.0,16.99,3516.0,145.0,7.99,169.0,110000.0,3.0,D3,665.0,6100.0,27997.0,6.0,100.0,3.0,14.0,10.0,10.0,4.0,D,10+ years,60.0,5.0,3.0,3.0,1.0,debt_consolidation,5.0, 36 months,w,Source Verified,MORTGAGE,0.0,0.0,Charged Off
499.0,0.0,92.4,64.0,10500.0,12.29,450.0,71.0,22.2,142.0,46000.0,2.0,C1,665.0,5900.0,26226.0,6.0,95.7,2.0,6.0,13.0,7.0,8.0,C,1 year,100.0,4.0,4.0,4.0,1.0,debt_consolidation,0.0, 36 months,f,Not Verified,RENT,0.0,0.0,Charged Off
569.0,565.0,79.8,56.6,24700.0,17.27,1958.0,144.0,15.47,224.0,65000.0,1.0,D3,670.0,9700.0,335925.0,7.0,88.9,1.0,10.0,18.0,6.0,8.0,D,3 years,50.0,4.0,4.0,4.0,1.0,debt_consolidation,3.0, 36 months,f,Not Verified,MORTGAGE,0.0,1.0,Charged Off
674.0,670.0,66.0,65.0,14000.0,10.99,5193.0,131.0,11.1,179.0,60000.0,8.0,B4,675.0,36350.0,111621.0,2.0,100.0,8.0,11.0,11.0,8.0,9.0,B,10+ years,42.9,11.0,7.0,3.0,0.0,credit_card,1.0, 36 months,f,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
784.0,780.0,25.8,37.5,35000.0,22.45,41055.0,165.0,11.06,297.0,152000.0,5.0,E5,695.0,55300.0,146436.0,10.0,100.0,5.0,14.0,24.0,7.0,9.0,E,2 years,0.0,8.0,4.0,2.0,4.0,other,5.0, 60 months,f,Source Verified,RENT,135.0,0.0,Fully Paid
714.0,710.0,87.9,55.7,21225.0,16.99,520.0,98.0,18.74,240.0,71200.0,7.0,D3,680.0,4300.0,42670.0,3.0,100.0,7.0,8.0,10.0,4.0,4.0,D,2 years,50.0,2.0,2.0,1.0,0.0,debt_consolidation,7.0, 60 months,w,Source Verified,RENT,0.0,0.0,Fully Paid
519.0,515.0,95.8,94.3,15000.0,13.99,592.0,160.0,12.77,213.0,110000.0,14.0,C4,670.0,14200.0,378133.0,6.0,90.9,4.0,5.0,9.0,4.0,6.0,C,10+ years,100.0,5.0,5.0,2.0,0.0,debt_consolidation,2.0, 36 months,w,Verified,OWN,0.0,0.0,Fully Paid
689.0,685.0,80.0,80.0,35000.0,18.54,8595.0,151.0,28.82,435.0,130000.0,79.0,E1,675.0,94550.0,215795.0,6.0,97.0,14.0,21.0,16.0,1.0,13.0,E,10+ years,54.5,21.0,11.0,0.0,1.0,credit_card,3.0, 60 months,w,Verified,MORTGAGE,508.0,0.0,Fully Paid
734.0,730.0,67.5,49.0,30000.0,18.99,6790.0,326.0,39.15,205.0,85000.0,7.0,D4,695.0,20900.0,104649.0,11.0,100.0,7.0,8.0,20.0,8.0,13.0,D,10+ years,57.1,7.0,5.0,2.0,0.0,debt_consolidation,0.0, 60 months,w,Verified,MORTGAGE,0.0,0.0,Fully Paid
