fst,sec,trd
term,term,loan_amnt
emp_length,emp_length,funded_amnt
annual_inc,annual_inc,funded_amnt_inv
dti,dti,term
delinq_2yrs,delinq_2yrs,int_rate
fico_avg,fico_avg,installment
inq_last_6mths,inq_last_6mths,grade
open_acc,open_acc,sub_grade
pub_rec,pub_rec,emp_length
revol_bal,revol_bal,annual_inc
revol_util,revol_util,loan_status
total_acc,total_acc,dti
acc_now_delinq,acc_now_delinq,delinq_2yrs
tot_cur_bal,tot_cur_bal,fico_avg
total_rev_hi_lim,total_rev_hi_lim,inq_last_6mths
avg_cur_bal,avg_cur_bal,open_acc
bc_open_to_buy,bc_open_to_buy,pub_rec
bc_util,bc_util,revol_bal
chargeoff_within_12_mths,chargeoff_within_12_mths,revol_util
mort_acc,mort_acc,total_acc
num_accts_ever_120_pd,num_accts_ever_120_pd,last_fico_range_high
num_actv_rev_tl,num_actv_rev_tl,last_fico_range_low
num_bc_sats,num_bc_sats,acc_now_delinq
num_bc_tl,num_bc_tl,tot_cur_bal
num_op_rev_tl,num_op_rev_tl,total_rev_hi_lim
num_rev_accts,num_rev_accts,inq_fi
num_rev_tl_bal_gt_0,num_rev_tl_bal_gt_0,inq_last_12m
num_sats,num_sats,acc_open_past_24mths
pct_tl_nvr_dlq,pct_tl_nvr_dlq,avg_cur_bal
percent_bc_gt_75,percent_bc_gt_75,bc_open_to_buy
pub_rec_bankruptcies,pub_rec_bankruptcies,bc_util
tax_liens,tax_liens,chargeoff_within_12_mths
tot_hi_cred_lim,tot_hi_cred_lim,mort_acc
total_bal_ex_mort,total_bal_ex_mort,num_accts_ever_120_pd
total_bc_limit,total_bc_limit,num_actv_bc_tl
total_il_high_credit_limit,total_il_high_credit_limit,num_actv_rev_tl
home_ownership_MORTGAGE,home_ownership_MORTGAGE,num_bc_sats
home_ownership_NONE,home_ownership_NONE,num_bc_tl
home_ownership_OTHER,home_ownership_OTHER,num_il_tl
home_ownership_OWN,home_ownership_OWN,num_op_rev_tl
home_ownership_RENT,home_ownership_RENT,num_rev_accts
verification_status_Source Verified,verification_status_Source Verified,num_rev_tl_bal_gt_0
verification_status_Verified,verification_status_Verified,num_sats
loan_status,loan_status,num_tl_120dpd_2m
,grade,num_tl_30dpd
,sub_grade,num_tl_90g_dpd_24m
,loan_amnt,num_tl_op_past_12m
,int_rate,pct_tl_nvr_dlq
,,percent_bc_gt_75
,,pub_rec_bankruptcies
,,tax_liens
,,tot_hi_cred_lim
,,total_bal_ex_mort
,,total_bc_limit
,,total_il_high_credit_limit
,,home_ownership_MORTGAGE
,,home_ownership_NONE
,,home_ownership_OTHER
,,home_ownership_OWN
,,home_ownership_RENT
,,verification_status_Source Verified
,,verification_status_Verified
